@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_samples NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
arsenic-male-bladder,1.0,231,?,not_applicable
letter,1.0,233,?,not_applicable
mc1,1.0,235,?,not_applicable
ova_prostate,1.0,238,?,not_applicable
volcanoes-b2,1.0,241,?,not_applicable
hypothyroid,1.0,244,?,not_applicable
autouniv-au7-700,1.0,246,?,not_applicable
ova_lung,1.0,249,?,not_applicable
pokerhand,1.0,251,?,not_applicable
quake,1.0,254,?,not_applicable
stock,1.0,258,?,not_applicable
fri_c2_1000_25,1.0,260,?,not_applicable
fried,1.0,263,?,not_applicable
volcanoes-a4,1.0,266,?,not_applicable
no2,1.0,269,?,not_applicable
space_ga,1.0,271,?,not_applicable
led-display-domain-7digit,1.0,272,?,not_applicable
pc1,1.0,275,?,not_applicable
fri_c0_500_5,1.0,277,?,not_applicable
ova_breast,1.0,280,?,not_applicable
mozilla4,1.0,283,?,not_applicable
churn,1.0,286,?,not_applicable
rl,1.0,290,?,not_applicable
volcanoes-a3,1.0,293,?,not_applicable
profb,1.0,296,?,not_applicable
bank32nh,1.0,299,?,not_applicable
cylinder-bands,1.0,302,?,not_applicable
madelon,1.0,306,?,not_applicable
musk,1.0,310,?,not_applicable
monks-problems-3,1.0,313,?,not_applicable
gtsrb-hog02,1.0,317,?,not_applicable
boston_corrected,1.0,320,?,not_applicable
skin-segmentation,1.0,323,?,not_applicable
balance-scale,1.0,327,?,not_applicable
traffic_violations,1.0,330,?,not_applicable
wilt,1.0,331,?,not_applicable
pc3,1.0,334,?,not_applicable
japanesevowels,1.0,338,?,not_applicable
volcanoes-b1,1.0,340,?,not_applicable
fri_c1_1000_50,1.0,342,?,not_applicable
splice,1.0,346,?,not_applicable
optdigits,1.0,348,?,not_applicable
gtsrb-huehist,1.0,351,?,not_applicable
amazon-commerce-reviews,1.0,354,?,not_applicable
gametes_epistasis_2-way_20atts_0.1h_edm-1_1,1.0,357,?,not_applicable
water-treatment,1.0,361,?,not_applicable
breast-w,1.0,364,?,not_applicable
yeast,1.0,366,?,not_applicable
gametes_epistasis_2-way_20atts_0.4h_edm-1_1,1.0,369,?,not_applicable
fri_c2_500_50,1.0,373,?,not_applicable
micro-mass,1.0,376,?,not_applicable
indian_pines,1.0,379,?,not_applicable
miceprotein,1.0,382,?,not_applicable
diabetes,1.0,383,?,not_applicable
collins,1.0,386,?,not_applicable
internet-advertisements,1.0,388,?,not_applicable
ova_endometrium,1.0,390,?,not_applicable
phishingwebsites,1.0,394,?,not_applicable
walking-activity,1.0,397,?,not_applicable
baseball,1.0,400,?,not_applicable
page-blocks,1.0,401,?,not_applicable
houses,1.0,402,?,not_applicable
waveform-5000,1.0,405,?,not_applicable
electricity,1.0,408,?,not_applicable
gtsrb-hog01,1.0,412,?,not_applicable
puma32h,1.0,415,?,not_applicable
bioresponse,1.0,418,?,not_applicable
spoken-arabic-digit,1.0,420,?,not_applicable
fri_c4_500_100,1.0,423,?,not_applicable
ova_kidney,1.0,426,?,not_applicable
ldpa,1.0,430,?,not_applicable
synthetic_control,1.0,433,?,not_applicable
pm10,1.0,434,?,not_applicable
ailerons,1.0,437,?,not_applicable
sensory,1.0,441,?,not_applicable
usps,1.0,445,?,not_applicable
kdd_internet_usage,1.0,447,?,not_applicable
kin8nm,1.0,451,?,not_applicable
dna,1.0,452,?,not_applicable
gametes_epistasis_3-way_20atts_0.2h_edm-1_1,1.0,455,?,not_applicable
volcanoes-d4,1.0,459,?,not_applicable
fri_c0_1000_5,1.0,462,?,not_applicable
gesturephasesegmentationprocessed,1.0,466,?,not_applicable
ova_ovary,1.0,469,?,not_applicable
qsar-biodeg,1.0,473,?,not_applicable
mv,1.0,476,?,not_applicable
wall-robot-navigation,1.0,478,?,not_applicable
eucalyptus,1.0,481,?,not_applicable
pendigits,1.0,482,?,not_applicable
har,1.0,484,?,not_applicable
soybean,1.0,486,?,not_applicable
puma8nh,1.0,489,?,not_applicable
kr-vs-k,1.0,492,?,not_applicable
ilpd,1.0,494,?,not_applicable
pc2,1.0,498,?,not_applicable
eating,1.0,502,?,not_applicable
eeg-eye-state,1.0,505,?,not_applicable
artificial-characters,1.0,509,?,not_applicable
climate-model-simulation-crashes,1.0,511,?,not_applicable
volcanoes-d1,1.0,515,?,not_applicable
cpu_act,1.0,518,?,not_applicable
wind,1.0,521,?,not_applicable
fri_c3_500_10,1.0,524,?,not_applicable
socmob,1.0,528,?,not_applicable
oil_spill,1.0,530,?,not_applicable
mushroom,1.0,534,?,not_applicable
jm1,1.0,536,?,not_applicable
analcatdata_authorship,1.0,539,?,not_applicable
vowel,1.0,542,?,not_applicable
gametes_epistasis_2-way_1000atts_0.4h_edm-1_edm-1_1,1.0,544,?,not_applicable
spambase,1.0,546,?,not_applicable
colleges_aaup,1.0,549,?,not_applicable
tic-tac-toe,1.0,552,?,not_applicable
texture,1.0,556,?,not_applicable
