@RELATION auto-sklearn_FEATURE_VALUES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC

@DATA
arsenic-male-bladder,1.0,0.2043246709802796,0.968,0.5,0.032,0.46799999999999997,0.010666666666666666,93.75,110.66885474272247,40.02881768985643,-1.2188394760817927,17.889207302875178,-4.54063166485052,4.54063166485052,1.3862943611198906,5.926926025970411,1.0,2.0,4.0,0.0,375.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,3.0,10.197522838356944,6.258894143724465,0.009162297125935918,1.6224859323848284,43.0,43.0,43.0,0.0,43.0
arsenic-male-lung,1.0,0.10215803640865039,0.9866666666666667,0.5,0.013333333333333334,0.4866666666666667,0.010666666666666666,93.75,110.66885474272247,40.02881768985643,-1.2188394760817927,17.889207302875178,-4.54063166485052,4.54063166485052,1.3862943611198906,5.926926025970411,1.0,2.0,4.0,0.0,375.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,3.0,10.197522838356944,6.258894143724465,0.009162297125935918,1.6224859323848284,43.0,43.0,43.0,0.0,43.0
artificial-characters,1.0,3.2833502498377505,0.14079158755659413,0.1,0.06002628888564335,0.02287256620690707,0.0010223455527968454,978.1428571428571,1.1202683448791504,-0.06218232427324567,-0.5494863986968994,0.5458508372868663,-6.88565573006575,6.88565573006575,1.9459101490553132,8.831565879121063,0.0,10.0,7.0,0.0,6847.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.3757922649383545,0.6610155148165566,0.19300946593284607,0.35998438646971775,0.0,0.0,0.0,0.0,0.0
autouniv-au1-1000,1.0,0.8373659146603346,0.7328358208955223,0.5,0.2671641791044776,0.23283582089552238,0.029850746268656716,33.5,-0.2719700336456299,-1.7239277301363292,-2.0,0.5072851263826138,-3.5115454388310208,3.5115454388310208,2.995732273553991,6.507277712385012,0.0,2.0,20.0,0.0,670.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.314545750617981,0.16553085576742887,-0.8345014452934265,0.49867003778493363,0.0,0.0,0.0,0.0,0.0
autouniv-au6-750,1.0,2.8909202866116694,0.21073558648111332,0.125,0.06958250497017893,0.050622071443248116,0.07952286282306163,12.575,1.1034992998464146,-0.9361029317009948,-1.9827087964433154,0.6603827588499234,-2.531710715985803,2.531710715985803,3.6888794541139363,6.220590170099739,3.0,8.0,40.0,0.0,503.0,0.0,0.0,37.0,0.0,0.0,0.0,0.08108108108108109,12.333333333333334,1.3109883803388016,0.012186724260393666,-1.1803415334484473,0.5256046031238645,3.0,2.3333333333333335,2.0,0.4714045207910317,7.0
autouniv-au7-1100,1.0,2.2809521768094214,0.2835820895522388,0.2,0.14789687924016282,0.04862455149429601,0.016282225237449117,61.416666666666664,3.0691411206838994,-1.0365871263694135,-1.9666666666666666,1.2750859068682503,-4.1176812424013365,4.1176812424013365,2.4849066497880004,6.602587892189336,4.0,5.0,12.0,0.0,737.0,0.0,0.0,8.0,0.0,0.0,0.0,0.5,2.0,2.2514753209138,0.3318813018451369,-0.9826582173959689,0.7690572471375381,3.0,2.5,2.0,0.5,10.0
autouniv-au7-700,1.0,1.5795257646916865,0.36673773987206826,0.3333333333333333,0.29637526652452023,0.028835057249610246,0.0255863539445629,39.083333333333336,11.813492063492058,-0.2884007964627808,-1.9991087344028518,3.0653153500393433,-3.6656961186582793,3.6656961186582793,2.4849066497880004,6.150602768446279,4.0,3.0,12.0,0.0,469.0,0.0,0.0,8.0,0.0,0.0,0.0,0.5,2.0,3.7166506512574022,0.3559163952957862,-1.6364692032033394,1.1542584467942694,3.0,2.5,2.0,0.5,10.0
bachchoralharmony,1.0,4.936997140418483,0.08719704952581665,0.010309278350515462,0.00026343519494204424,0.019901961274486905,0.004214963119072708,237.25,92.34371395617065,36.25810410012074,-1.900977959986676,30.359987297940183,-5.469114437490037,5.469114437490037,2.772588722239781,8.241703159729818,14.0,97.0,16.0,0.0,3796.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.14285714285714285,9.713069234601935,5.056434397344781,-2.4158195137697125,3.558134351770176,62.0,7.285714285714286,2.0,15.595001815730994,102.0
balance-scale,1.0,1.286782371820149,0.477326968973747,0.3333333333333333,0.06682577565632458,0.18865321491800527,0.00954653937947494,104.75,-1.3056594133377075,-1.3234760559255854,-1.3424031734466553,0.017230026553222873,-4.651576558802247,4.6515765588022475,1.3862943611198906,6.037870919922137,0.0,3.0,4.0,0.0,419.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.022141071036458015,-0.007547277840785682,-0.027559148147702217,0.01889415979079879,0.0,0.0,0.0,0.0,0.0
bank32nh,1.0,0.9006826145372102,0.6833667334669339,0.5,0.3166332665330661,0.18336673346693388,0.005829841501184187,171.53125,9.644611358642578,0.9240010939611876,-1.3117843866348267,3.3256971177392383,-5.1447654657501625,5.1447654657501625,3.4657359027997265,8.610501368549889,0.0,2.0,32.0,0.0,5489.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.2950119972229004,0.6224293509967538,-0.024041127413511276,0.8910277524767247,0.0,0.0,0.0,0.0,0.0
bank8fm,1.0,0.97318555539627,0.5961012934960831,0.5,0.4038987065039169,0.0961012934960831,0.0014574603752960467,686.125,5.994620323181152,0.5273152384811959,-1.3756378144786194,2.9130838192894433,-6.531059826870053,6.531059826870053,2.0794415416798357,8.610501368549889,0.0,2.0,8.0,0.0,5489.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0594398975372314,0.4553816454426851,-0.365326851606369,0.9023827580087976,0.0,0.0,0.0,0.0,0.0
banknote-authentication,1.0,0.9900363545717286,0.558695652173913,0.5,0.44130434782608696,0.05869565217391304,0.004347826086956522,230.0,1.5621490478515625,0.2815343141555786,-0.7604365348815918,0.9020207625775767,-5.438079308923196,5.438079308923196,1.3862943611198906,6.824373670043086,0.0,2.0,4.0,0.0,920.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.175997018814087,-0.12071622163057327,-1.0632234811782837,0.8176142576425832,0.0,0.0,0.0,0.0,0.0
baseball,1.0,0.5357745087809012,0.9075723830734966,0.3333333333333333,0.0400890868596882,0.40607911946613345,0.017817371937639197,56.125,174.60559910414332,9.850328552864035,-1.708608284729022,36.0036292781064,-4.027581346062418,4.027581346062418,2.772588722239781,6.8001700683022,1.0,3.0,16.0,1.0,898.0,14.0,14.0,15.0,0.0625,0.015590200445434299,0.0009743875278396437,0.06666666666666667,15.0,13.289303936028528,1.6801786028438086,-1.7583330733177804,2.718055546646069,7.0,7.0,7.0,0.0,7.0
bioresponse,1.0,0.9951511865588685,0.5409705648369133,0.5,0.4590294351630867,0.040970564836913304,0.7064439140811456,1.4155405405405406,2508.9995346070127,143.78498109166966,-2.0,288.6959958713397,-0.34751146559807733,0.3475114655980774,7.4821189235521155,7.829630389150193,0.0,2.0,1776.0,0.0,2514.0,0.0,0.0,1776.0,0.0,0.0,0.0,0.0,0.0,50.10987091064453,7.936332491814739,-24.50369644165039,7.860139730999429,0.0,0.0,0.0,0.0,0.0
boston_corrected,1.0,0.9855748273706862,0.5705882352941176,0.5,0.4294117647058823,0.07058823529411765,0.058823529411764705,17.0,80.01190476190476,31.528891756729088,-1.2968537635135517,28.535277658603704,-2.833213344056216,2.833213344056216,2.995732273553991,5.8289456176102075,3.0,2.0,20.0,0.0,340.0,0.0,0.0,17.0,0.0,0.0,0.0,0.17647058823529413,5.666666666666667,9.056042444793684,4.585530850716138,-3.6409211624916202,3.4643952082780425,83.0,31.333333333333332,2.0,36.64544840616484,94.0
breast-w,1.0,0.9018596777332487,0.6823027718550106,0.5,0.31769722814498935,0.18230277185501065,0.019189765458422176,52.111111111111114,15.228355673355477,2.3933746380103145,-0.5234739780426025,4.658643796764867,-3.95337819111006,3.95337819111006,2.1972245773362196,6.150602768446279,0.0,2.0,9.0,1.0,469.0,13.0,13.0,9.0,0.1111111111111111,0.02771855010660981,0.003079838900734423,0.0,0.0,3.8481247425079346,1.6418234639697604,0.6796358823776245,0.8539777970841981,0.0,0.0,0.0,0.0,0.0
cardiotocography,1.0,2.8960514990117456,0.27017543859649124,0.09999999999999999,0.02666666666666667,0.07919089146785949,0.02456140350877193,40.714285714285715,232.50423950007348,15.381813751143882,-1.3564152717590332,40.90688544552689,-3.7065790312133373,3.7065790312133373,3.5553480614894135,7.261927092702751,0.0,10.0,35.0,0.0,1425.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,15.313533782958984,2.3342307370023003,-0.9915812015533447,3.12757930886838,0.0,0.0,0.0,0.0,0.0
churn,1.0,0.5858002069916767,0.8594029850746269,0.5,0.14059701492537313,0.35940298507462687,0.005970149253731343,167.5,90.72484378366727,5.36444225728596,-1.9999985742922073,18.04733584870704,-5.120983351265121,5.120983351265121,2.995732273553991,8.116715624819111,4.0,2.0,20.0,0.0,3350.0,0.0,0.0,16.0,0.0,0.0,0.0,0.25,4.0,9.62937400788168,1.0304977162767015,-2.6501812011700303,2.2923515101395457,10.0,4.25,2.0,3.344772040064913,17.0
cifar_10,1.0,3.3218839271419447,0.10159203980099503,0.1,0.09880597014925373,0.0007826931702762336,0.0764179104477612,13.0859375,-0.3885042667388916,-0.7578006498396439,-1.3247292459656843,0.18885000215346012,-2.57153818033955,2.57153818033955,8.030084094267563,10.601622274607113,0.0,10.0,3072.0,0.0,40200.0,0.0,0.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.5564455389976501,0.20341232816193866,-0.07487563043832779,0.150539075198301,0.0,0.0,0.0,0.0,0.0
cjs,1.0,2.5104841076345235,0.240128068303095,0.16666666666666666,0.08911419423692636,0.052691149173003854,0.017609391675560297,56.78787878787879,1115.0194525950296,83.8676540449981,1.4980965862386268,182.78748404963622,-4.039322901331888,4.039322901331888,3.4965075614664802,7.535830462798367,2.0,6.0,33.0,29.0,1874.0,1873.0,45627.0,31.0,0.8787878787878788,0.9994663820704376,0.737799553701368,0.06451612903225806,15.5,25.277637080914808,5.770368240836089,-0.08149044512563289,4.226631774704103,56.0,33.0,10.0,23.0,66.0
climate-model-simulation-crashes,1.0,0.43109911719061084,0.9116022099447514,0.5,0.08839779005524862,0.4116022099447514,0.049723756906077346,20.11111111111111,-1.1237452030181885,-1.1935852368672688,-1.24972403049469,0.040819007767498805,-3.0012724539296065,3.0012724539296065,2.8903717578961645,5.8916442118257715,0.0,2.0,18.0,0.0,362.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.05262163653969765,-0.003725925408717659,-0.07087760418653488,0.02984550717640424,0.0,0.0,0.0,0.0,0.0
cmc,1.0,1.5444914617609067,0.42249240121580545,0.3333333333333333,0.23302938196555217,0.07774837720399183,0.00911854103343465,109.66666666666667,49.851909184726466,4.003132312924177,-1.9836363636363632,11.02809340187148,-4.697445462097262,4.697445462097262,2.1972245773362196,6.894670039433482,7.0,3.0,9.0,0.0,987.0,0.0,0.0,2.0,0.0,0.0,0.0,3.5,0.2857142857142857,7.200826979224431,1.2527294318515318,-3.2278304349020064,2.073223187193524,4.0,3.142857142857143,2.0,0.989743318610787,22.0
colleges_aaup,1.0,0.898760171096384,0.6850899742930592,0.5,0.3149100257069409,0.18508997429305915,0.019280205655526992,51.86666666666667,773.0012870012872,45.78586429840345,-1.9923459929021663,104.32889991651153,-3.9486763230761817,3.9486763230761817,2.70805020110221,6.656726524178391,2.0,2.0,15.0,6.0,778.0,58.0,178.0,13.0,0.4,0.07455012853470437,0.015252784918594687,0.15384615384615385,6.5,27.838844929365994,5.3707361972323495,-0.08748718247739844,4.244931202097828,51.0,27.5,4.0,23.5,55.0
colleges_usnews,1.0,0.9954890573504592,0.5395189003436426,0.5,0.46048109965635736,0.03951890034364261,0.037800687285223365,26.454545454545453,92.01041666666673,27.700775408401892,-1.6640552995391718,26.754723005379255,-3.275427994373122,3.2754279943731217,3.4965075614664802,6.771935555839602,1.0,2.0,33.0,30.0,873.0,764.0,5310.0,32.0,0.9090909090909091,0.8751431844215349,0.18431740081224618,0.03125,32.0,9.695896898516748,4.176834828441457,-0.6129298129691935,3.026336235399658,51.0,51.0,51.0,0.0,51.0
collins,1.0,4.62233273293175,0.08955223880597014,0.03333333333333333,0.004477611940298508,0.021943626286140074,0.028358208955223882,35.26315789473684,31.915592193603516,4.040805303878184,-0.433330774307251,7.773290896320737,-3.5628387332185714,3.5628387332185714,2.9444389791664403,6.507277712385012,0.0,30.0,19.0,0.0,670.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.108541965484619,1.1985598014373529,-0.11530383676290512,1.0342431972942794,0.0,0.0,0.0,0.0,0.0
compas-two-years,1.0,0.9974798870557391,0.5295448119875601,0.5,0.4704551880124399,0.029544811987560093,0.0036754311563471868,272.0769230769231,202.53909856105292,21.575730047638054,-1.8914180790663586,57.02579346585363,-5.606084831743944,5.606084831743944,2.5649493574615367,8.17103418920548,6.0,2.0,13.0,0.0,3537.0,0.0,0.0,7.0,0.0,0.0,0.0,0.8571428571428571,1.1666666666666667,11.521277612269742,1.6653698273375623,-1.53217720579966,3.6681519530233504,2.0,2.0,2.0,0.0,12.0
cpu_act,1.0,0.8824680010722367,0.6990344325013663,0.5,0.3009655674986336,0.19903443250136635,0.0038258334851521223,261.3809523809524,619.9618265719739,76.9042121753925,1.1050496101379395,139.01256776590665,-5.565978930826466,5.565978930826466,3.044522437723423,8.610501368549889,0.0,2.0,21.0,0.0,5489.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.77604866027832,5.3457508484522505,-0.7721167802810669,4.832918145056104,0.0,0.0,0.0,0.0,0.0
cpu_small,1.0,0.8824680010722367,0.6990344325013663,0.5,0.3009655674986336,0.19903443250136635,0.00218619056294407,457.4166666666667,278.4120727987076,67.79059303974928,1.1050496101379395,84.07833455016278,-6.125594718761889,6.125594718761889,2.4849066497880004,8.610501368549889,0.0,2.0,12.0,0.0,5489.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.610797882080078,5.007975568373998,-0.7721167802810669,3.9304204191758796,0.0,0.0,0.0,0.0,0.0
cylinder-bands,1.0,0.988320671684953,0.56353591160221,0.5,0.43646408839779005,0.06353591160220995,0.10220994475138122,9.783783783783784,357.0027700831024,28.00902707234859,-3.0,50.8545205712154,-2.2807262991815467,2.2807262991815467,3.6109179126442243,5.8916442118257715,19.0,2.0,37.0,27.0,362.0,183.0,718.0,18.0,0.7297297297297297,0.505524861878453,0.05360609228012543,1.0555555555555556,0.9473684210526315,18.94736842105263,3.6021708051060615,-4.013480430368783,4.070149383669796,63.0,7.052631578947368,1.0,13.713127341924777,134.0
delta_ailerons,1.0,0.9972845492349879,0.5306677831274859,0.5,0.46933221687251414,0.03066778312748586,0.0010466820180029307,955.4,1.5051984786987305,0.39104058742523196,-1.1385637521743774,0.9268751137829921,-6.862130100955861,6.862130100955861,1.6094379124341003,8.471568013389962,0.0,2.0,5.0,0.0,4777.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6867528557777405,0.1279609606601298,-0.14707709848880768,0.3084974327581281,0.0,0.0,0.0,0.0,0.0
delta_elevators,1.0,0.9999991308236985,0.5005488474204172,0.5,0.4994511525795829,0.0005488474204171367,0.0009408812921436412,1062.8333333333333,3.9213500022888184,0.5684107765698683,-0.5238511562347412,1.5399688040228623,-6.968693577087216,6.968693577087216,1.791759469228055,8.760453046315272,0.0,2.0,6.0,0.0,6377.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.16351966559886932,-0.006105443462729454,-0.21255609393119812,0.12639867189774245,0.0,0.0,0.0,0.0,0.0
devnagari-script,1.0,5.523395837713608,0.02261518494484101,0.021739130434782605,0.021122647631408177,0.00033019791466057624,0.01661258922777417,60.1953125,28.5054360615163,-0.2567941589093605,-1.838609218597412,2.7299324914625775,-4.097594483834599,4.097594483834599,6.931471805599453,11.029066289434052,0.0,46.0,1024.0,0.0,61640.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,5.272480010986328,0.9334069043127654,-0.6096778512001038,0.7888761949739701,0.0,0.0,0.0,0.0,0.0
diabetes,1.0,0.9264812028795422,0.658252427184466,0.5,0.341747572815534,0.158252427184466,0.015533980582524271,64.375,8.65097427368164,2.8869645595550537,-0.27129554748535156,3.0322287858651737,-4.1647253589839,4.1647253589839,2.0794415416798357,6.244166900663736,0.0,2.0,8.0,0.0,515.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.4669785499572754,0.5686217378824949,-1.906277060508728,1.2758883457605104,0.0,0.0,0.0,0.0,0.0
diabetes130us,1.0,1.3628545101135676,0.5398480581954711,0.3333333333333333,0.11140443505807814,0.1752506435713934,0.0007186436700692244,1391.5102040816328,68179.00001466635,2440.590992298246,-3.0,10767.058086801122,-7.238144914091507,7.238144914091507,3.8918202981106265,11.129965212202134,36.0,3.0,49.0,0.0,68184.0,0.0,0.0,13.0,0.0,0.0,0.0,2.769230769230769,0.3611111111111111,261.1149172580272,5.429571574542419,-261.1149172580272,49.07670848451944,738.0,64.36111111111111,1.0,193.94001833009233,2317.0
dna,1.0,1.4692234266787714,0.5283372365339578,0.3333333333333333,0.23138173302107728,0.13793643722446605,0.08430913348946135,11.86111111111111,2.2571453932185346,-0.5651604467921335,-1.9999921021733065,0.602088421388125,-2.4732650747725144,2.4732650747725144,5.19295685089021,7.666221925662725,180.0,3.0,180.0,0.0,2135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063285097415898,-2.4671622769447922e-17,-2.063285097415898,1.1978478840019156,2.0,2.0,2.0,0.0,360.0
dresses-sales,1.0,0.9743359543056355,0.5940298507462687,0.5,0.4059701492537313,0.09402985074626868,0.03582089552238806,27.916666666666668,330.00299401197594,29.137336707592166,-1.9991087344028518,45.269935945213504,-3.329223882037066,3.3292238820370663,2.4849066497880004,5.814130531825066,11.0,2.0,12.0,7.0,335.0,272.0,584.0,1.0,0.5833333333333334,0.8119402985074626,0.14527363184079603,11.0,0.09090909090909091,18.2209493169806,4.453513873955004,-1.2573779881249725,3.3619619825332485,22.0,12.636363636363637,3.0,5.740964874126162,139.0
eating,1.0,2.805414232000384,0.1529968454258675,0.14285714285714285,0.1309148264984227,0.007391266095924622,10.052050473186119,0.09948219049113448,627.4835250455856,14.640012417658877,-1.9029806852340698,50.684180728587826,2.307776640877068,-2.3077766408770684,8.759825595314295,6.452048954437226,0.0,7.0,6373.0,0.0,634.0,0.0,0.0,6373.0,0.0,0.0,0.0,0.0,0.0,25.075204849243164,1.1436456964986377,-24.942012786865234,2.952958006030485,0.0,0.0,0.0,0.0,0.0
