idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,extra_trees_preproc_for_classification:bootstrap,extra_trees_preproc_for_classification:criterion,extra_trees_preproc_for_classification:max_depth,extra_trees_preproc_for_classification:max_features,extra_trees_preproc_for_classification:min_samples_leaf,extra_trees_preproc_for_classification:min_samples_split,extra_trees_preproc_for_classification:n_estimators,fast_ica:algorithm,fast_ica:fun,fast_ica:n_components,fast_ica:whiten,feature_agglomeration:affinity,feature_agglomeration:linkage,feature_agglomeration:n_clusters,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kernel_pca:coef0,kernel_pca:degree,kernel_pca:gamma,kernel_pca:kernel,kernel_pca:n_components,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,pca:keep_variance,pca:whiten,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t
21,,,,,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18807.759325165465,None,,,0.9407045357028911,rbf,-1,True,0.0014873119699268175,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,min/max,,,,,,0.12666673893748293,fdr,f_classif,,,,,,,,,,
22,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5588812540215415,True,pca,,,True,entropy,None,1.8396363206266477,None,14,11,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
23,,,,,none,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,0.5382779598457617,2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003992840656132421,True,squared_hinge,532,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
24,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
25,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,1.5110064323422645,9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,5.641638307200248e-06,,0.07060847896251375,True,0.7164629744765447,constant,squared_hinge,721,elasticnet,
26,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,7.374849206806193,auto,False,True,1,l2,ovr,l2,0.018548025965981617,9.12289388045085,auto,False,True,1,l2,ovr,l2,0.0006941751064354955,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
27,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6088266276010387,False,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
28,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
29,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,14.564079823470738,None,False,True,1,l2,ovr,l2,0.00032511471694092724,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,normalize,,,,,,,,,3.2879006530969383e-06,,0.06131582733344155,True,,constant,squared_hinge,630,l2,
30,SAMME.R,0.011563379679013325,6,400,none,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
31,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
32,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
33,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,min/max,,,,,,0.1553349148558551,fpr,f_classif,6.491853362679942e-05,,0.06655939743750068,True,,optimal,log,189,l2,
34,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
35,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,cosine,complete,127,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,True,gini,None,4.6939594708343275,None,1,19,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
36,SAMME.R,0.07449012570385105,6,79,weighting,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,cosine,complete,240,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
37,SAMME.R,0.09468034218263909,2,237,none,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,
38,,,,,none,decision_tree,entropy,None,1.0,None,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7374827280142786,True,pca,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
39,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,0.11583635753083169,auto,False,True,1,l2,ovr,l2,7.012668880048614e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
40,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
41,,,,,none,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19690.05574409663,None,,,4.895935845621838e-05,rbf,-1,True,0.019646836528331813,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,,,4,None,16,9,52,standard,,,,,,,,,,,,,,,,,,
42,,,,,none,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,422.88073091791836,None,False,True,1,l2,ovr,l2,4.249003278621825e-05,116.44042062060015,None,0.8391813610285785,4,0.00031640273350549834,poly,-1,False,2.630371413806294e-05,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
43,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,0.39451948193431585,4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3016951272924656,True,squared_hinge,923,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
44,,,,,none,qda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7484796568545886,False,pca,3.8287488010237256,0.013062164072806226,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,
45,,,,,none,libsvm_svc,,,,,,,,,,,,,,False,gini,None,1.4187592730433858,5,18,100,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.9868599223149,None,,,0.28421112826543304,rbf,-1,False,6.945686488911986e-05,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
46,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
47,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
48,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,0.9730067752050879,5447,,,53.25449631250072,auto,False,True,1,l2,ovr,l2,0.00011871302874436985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
49,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,9.175504903672477,None,False,True,1,l2,ovr,l2,0.013834129577528618,678.9753858430612,auto,False,True,1,l2,ovr,l2,0.00015222324610646566,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
50,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
51,,,,,none,qda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,0.4644517628777587,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,2.101079604073809,0.0004274453207523458,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
52,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
53,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
54,,,,,none,extra_trees,,,,,,,False,entropy,None,1.7214620556778932,3,10,100,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
55,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
56,,,,,none,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19300580318341942,2,5.832304219289268,poly,857,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,min/max,0.00023314333041397678,True,1.3174871988944877e-05,,,,,,,,,,,,,,,
57,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
58,,,,,none,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545769620825285,auto,-0.25330247983820553,3,0.072115781159794,poly,-1,False,0.00039484672778061525,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,min/max,,,,,,0.32248874594510746,fpr,f_classif,,,,,,,,,,
59,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,0.622952766020817,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011930719923243435,True,squared_hinge,710,,,kitchen_sinks,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
60,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
