@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_samples NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
monks-problems-3,1.0,399,?,not_applicable
gtsrb-hog02,1.0,403,?,not_applicable
boston_corrected,1.0,406,?,not_applicable
skin-segmentation,1.0,410,?,not_applicable
balance-scale,1.0,414,?,not_applicable
traffic_violations,1.0,417,?,not_applicable
wilt,1.0,420,?,not_applicable
magictelescope,1.0,424,?,not_applicable
pc3,1.0,428,?,not_applicable
japanesevowels,1.0,432,?,not_applicable
volcanoes-b1,1.0,435,?,not_applicable
fri_c1_1000_50,1.0,438,?,not_applicable
splice,1.0,442,?,not_applicable
optdigits,1.0,445,?,not_applicable
gtsrb-huehist,1.0,448,?,not_applicable
amazon-commerce-reviews,1.0,451,?,not_applicable
ringnorm,1.0,454,?,not_applicable
gametes_epistasis_2-way_20atts_0.1h_edm-1_1,1.0,457,?,not_applicable
water-treatment,1.0,461,?,not_applicable
breast-w,1.0,465,?,not_applicable
yeast,1.0,469,?,not_applicable
gametes_epistasis_2-way_20atts_0.4h_edm-1_1,1.0,472,?,not_applicable
fri_c2_500_50,1.0,476,?,not_applicable
micro-mass,1.0,480,?,not_applicable
indian_pines,1.0,483,?,not_applicable
miceprotein,1.0,486,?,not_applicable
diabetes,1.0,489,?,not_applicable
collins,1.0,493,?,not_applicable
internet-advertisements,1.0,496,?,not_applicable
ova_endometrium,1.0,500,?,not_applicable
phishingwebsites,1.0,504,?,not_applicable
walking-activity,1.0,508,?,not_applicable
baseball,1.0,511,?,not_applicable
page-blocks,1.0,514,?,not_applicable
houses,1.0,516,?,not_applicable
waveform-5000,1.0,520,?,not_applicable
electricity,1.0,523,?,not_applicable
gtsrb-hog01,1.0,527,?,not_applicable
puma32h,1.0,530,?,not_applicable
bioresponse,1.0,534,?,not_applicable
cjs,1.0,538,?,not_applicable
spoken-arabic-digit,1.0,541,?,not_applicable
fri_c4_500_100,1.0,544,?,not_applicable
ova_kidney,1.0,548,?,not_applicable
ldpa,1.0,552,?,not_applicable
synthetic_control,1.0,555,?,not_applicable
pm10,1.0,558,?,not_applicable
ailerons,1.0,562,?,not_applicable
sensory,1.0,566,?,not_applicable
usps,1.0,570,?,not_applicable
kdd_internet_usage,1.0,572,?,not_applicable
kin8nm,1.0,576,?,not_applicable
dna,1.0,579,?,not_applicable
gametes_epistasis_3-way_20atts_0.2h_edm-1_1,1.0,582,?,not_applicable
volcanoes-d4,1.0,586,?,not_applicable
fri_c0_1000_5,1.0,589,?,not_applicable
gesturephasesegmentationprocessed,1.0,593,?,not_applicable
ova_ovary,1.0,596,?,not_applicable
qsar-biodeg,1.0,600,?,not_applicable
mv,1.0,604,?,not_applicable
wall-robot-navigation,1.0,608,?,not_applicable
eucalyptus,1.0,611,?,not_applicable
pendigits,1.0,614,?,not_applicable
har,1.0,617,?,not_applicable
soybean,1.0,620,?,not_applicable
puma8nh,1.0,623,?,not_applicable
kr-vs-k,1.0,627,?,not_applicable
ilpd,1.0,630,?,not_applicable
pc2,1.0,634,?,not_applicable
eating,1.0,638,?,not_applicable
eeg-eye-state,1.0,641,?,not_applicable
artificial-characters,1.0,645,?,not_applicable
climate-model-simulation-crashes,1.0,648,?,not_applicable
volcanoes-d1,1.0,652,?,not_applicable
cpu_act,1.0,655,?,not_applicable
wind,1.0,659,?,not_applicable
fri_c3_500_10,1.0,663,?,not_applicable
socmob,1.0,667,?,not_applicable
oil_spill,1.0,670,?,not_applicable
mushroom,1.0,674,?,not_applicable
jm1,1.0,676,?,not_applicable
analcatdata_authorship,1.0,680,?,not_applicable
vowel,1.0,683,?,not_applicable
gametes_epistasis_2-way_1000atts_0.4h_edm-1_edm-1_1,1.0,686,?,not_applicable
spambase,1.0,690,?,not_applicable
mofn-3-7-10,1.0,694,?,not_applicable
colleges_aaup,1.0,698,?,not_applicable
tic-tac-toe,1.0,702,?,not_applicable
texture,1.0,706,?,not_applicable
