@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE roc_auc NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
quake,1.0,254,0.4593081761006289,ok
stock,1.0,258,0.006091080042514907,ok
fri_c2_1000_25,1.0,261,0.016949790952578203,ok
fried,1.0,263,0.01405822952150837,ok
volcanoes-a4,1.0,266,?,not_applicable
no2,1.0,269,0.2597707904789891,ok
space_ga,1.0,271,0.09427115856165935,ok
led-display-domain-7digit,1.0,272,?,not_applicable
pc1,1.0,276,0.14752013565069944,ok
fri_c0_500_5,1.0,278,0.01945181255526074,ok
ova_breast,1.0,282,0.014205969469127444,ok
mozilla4,1.0,285,0.02398604953509642,ok
churn,1.0,288,0.07390681562102952,ok
rl,1.0,292,0.049431863001325294,ok
volcanoes-a3,1.0,293,?,not_applicable
profb,1.0,297,0.22725685350096048,ok
bank32nh,1.0,301,0.10740760133255667,ok
cylinder-bands,1.0,303,0.06746031746031744,ok
madelon,1.0,308,0.044659692976497745,ok
musk,1.0,312,0.0,ok
monks-problems-3,1.0,316,0.0006827209533267764,ok
gtsrb-hog02,1.0,317,?,not_applicable
boston_corrected,1.0,320,0.03166496424923393,ok
skin-segmentation,1.0,325,5.259861332040927e-06,ok
balance-scale,1.0,327,?,not_applicable
traffic_violations,1.0,330,?,not_applicable
wilt,1.0,331,0.00810645091934159,ok
pc3,1.0,336,0.13482306030902136,ok
japanesevowels,1.0,338,?,not_applicable
volcanoes-b1,1.0,340,?,not_applicable
fri_c1_1000_50,1.0,345,0.018420277040966715,ok
splice,1.0,346,?,not_applicable
optdigits,1.0,348,?,not_applicable
gtsrb-huehist,1.0,351,?,not_applicable
amazon-commerce-reviews,1.0,354,?,not_applicable
gametes_epistasis_2-way_20atts_0.1h_edm-1_1,1.0,360,0.277642970982239,ok
water-treatment,1.0,362,0.0,ok
breast-w,1.0,365,0.010003150598613675,ok
yeast,1.0,366,?,not_applicable
gametes_epistasis_2-way_20atts_0.4h_edm-1_1,1.0,370,0.17625310494350077,ok
fri_c2_500_50,1.0,373,0.01984962406015045,ok
micro-mass,1.0,376,?,not_applicable
indian_pines,1.0,379,?,not_applicable
miceprotein,1.0,382,?,not_applicable
diabetes,1.0,385,0.1616257088846882,ok
collins,1.0,386,?,not_applicable
internet-advertisements,1.0,388,0.010142238713667262,ok
ova_endometrium,1.0,392,0.0652351738241308,ok
phishingwebsites,1.0,396,0.004061310058614653,ok
walking-activity,1.0,397,?,not_applicable
baseball,1.0,400,?,not_applicable
page-blocks,1.0,401,?,not_applicable
houses,1.0,403,0.0009527895282942511,ok
waveform-5000,1.0,405,?,not_applicable
electricity,1.0,408,0.02133037252230252,ok
gtsrb-hog01,1.0,412,?,not_applicable
puma32h,1.0,415,0.022545115973382268,ok
bioresponse,1.0,418,0.13576590014283374,ok
spoken-arabic-digit,1.0,420,?,not_applicable
fri_c4_500_100,1.0,423,0.03237729154346547,ok
ova_kidney,1.0,426,0.002741760438681684,ok
ldpa,1.0,430,?,not_applicable
synthetic_control,1.0,433,?,not_applicable
pm10,1.0,435,0.36348248454518683,ok
ailerons,1.0,437,0.0393756686764456,ok
sensory,1.0,442,0.24105493998153282,ok
usps,1.0,445,?,not_applicable
kdd_internet_usage,1.0,449,0.04389160202741238,ok
kin8nm,1.0,451,0.023830856451867333,ok
dna,1.0,452,?,not_applicable
gametes_epistasis_3-way_20atts_0.2h_edm-1_1,1.0,457,0.2685112065128433,ok
volcanoes-d4,1.0,459,?,not_applicable
fri_c0_1000_5,1.0,465,0.012426470588235317,ok
gesturephasesegmentationprocessed,1.0,466,?,not_applicable
ova_ovary,1.0,472,0.020747636573572925,ok
qsar-biodeg,1.0,475,0.07999706432791454,ok
mv,1.0,476,1.2372746304167848e-06,ok
wall-robot-navigation,1.0,478,?,not_applicable
eucalyptus,1.0,481,?,not_applicable
pendigits,1.0,482,?,not_applicable
har,1.0,484,?,not_applicable
soybean,1.0,486,?,not_applicable
puma8nh,1.0,489,0.08166848810444183,ok
kr-vs-k,1.0,492,?,not_applicable
ilpd,1.0,497,0.2422967286548119,ok
pc2,1.0,498,0.14083521269150012,ok
eating,1.0,502,?,not_applicable
eeg-eye-state,1.0,505,0.008870547620086433,ok
artificial-characters,1.0,509,?,not_applicable
climate-model-simulation-crashes,1.0,513,0.010017421602787513,ok
volcanoes-d1,1.0,515,?,not_applicable
cpu_act,1.0,519,0.016244231451899238,ok
wind,1.0,523,0.05122838758477577,ok
fri_c3_500_10,1.0,525,0.02722990874300857,ok
socmob,1.0,528,0.013756405202995703,ok
oil_spill,1.0,530,0.046257796257796246,ok
mushroom,1.0,534,0.0,ok
jm1,1.0,537,0.2506568600145809,ok
analcatdata_authorship,1.0,539,?,not_applicable
vowel,1.0,542,?,not_applicable
gametes_epistasis_2-way_1000atts_0.4h_edm-1_edm-1_1,1.0,545,0.4820379915861416,ok
spambase,1.0,548,0.01091010374050283,ok
colleges_aaup,1.0,551,0.00017337031900133137,ok
tic-tac-toe,1.0,553,0.0,ok
texture,1.0,556,?,not_applicable
