@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
qsar-biodeg,1.0,601,0.11494252873563215,ok
mv,1.0,605,0.00022299858767560465,ok
wall-robot-navigation,1.0,608,0.0011111111111110628,ok
eucalyptus,1.0,613,0.2892561983471075,ok
pendigits,1.0,615,0.0022056796250344846,ok
har,1.0,617,0.004708652148322501,ok
soybean,1.0,622,0.04888888888888887,ok
puma8nh,1.0,624,0.1620421753607103,ok
kr-vs-k,1.0,628,0.07917476776841648,ok
ilpd,1.0,631,0.28125,ok
pc2,1.0,635,0.00379609544468551,ok
eating,1.0,640,0.2797427652733119,ok
eeg-eye-state,1.0,643,0.01942140400566461,ok
artificial-characters,1.0,647,0.09344408187481457,ok
climate-model-simulation-crashes,1.0,648,0.028089887640449396,ok
volcanoes-d1,1.0,653,0.061634349030470936,ok
cpu_act,1.0,657,0.059193488716241194,ok
wind,1.0,659,0.12448132780082988,ok
fri_c3_500_10,1.0,663,0.09090909090909094,ok
socmob,1.0,668,0.04986876640419946,ok
oil_spill,1.0,670,0.029126213592232997,ok
mushroom,1.0,674,0.0,ok
jm1,1.0,676,0.16842984409799555,ok
analcatdata_authorship,1.0,680,0.0,ok
vowel,1.0,683,0.0030674846625766694,ok
gametes_epistasis_2-way_1000atts_0.4h_edm-1_edm-1_1,1.0,687,0.22916666666666663,ok
spambase,1.0,690,0.040843214756258184,ok
mofn-3-7-10,1.0,694,0.0,ok
colleges_aaup,1.0,701,0.005221932114882533,ok
tic-tac-toe,1.0,702,0.0,ok
texture,1.0,707,0.0,ok
