idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
11,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,125.5621477372524,None,False,True,1,l2,ovr,l2,0.04724188714988072,,,,,,,,,,,,,,,,,,,,,0.3024459978721956,,0.030730885871301666,sigmoid,264,,,,,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
12,,,,,weighting,multinomial_nb,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,0.5576149265114078,auto,False,True,1,l2,ovr,l2,0.04226068258804884,,,,,,,,,,0.12562768350263476,False,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
13,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,gini,None,3.083878458763191,None,8,17,100,min/max,,,,,,,,,,,,,,,,,,,
14,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.6203452280981492,9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,5.641638307200248e-06,,0.07060847896251375,True,0.7164629744765447,constant,hinge,721,elasticnet,,
15,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,9.12289388045085,auto,False,True,1,l2,ovr,l2,0.0006941751064354955,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,standard,,,,,,,,,2.3700611207598537e-06,,0.06533728461727917,True,0.4909583799330445,invscaling,log,424,elasticnet,0.1628309471415556,
16,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,111.80290678746385,auto,False,True,1,l2,ovr,l2,0.0003980367577608454,,,,,,,,,,1.028523043813949,False,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
17,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,normalize,,,,,,,,,2.448672346274801e-07,,0.02930772616905655,True,0.8819313537967854,constant,squared_hinge,361,elasticnet,,
18,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,0.09234806860588303,None,False,True,1,l2,ovr,l2,0.001534596228902367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
19,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9109136793454531,4,0.23196219212637567,poly,6241,,,,,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,2.2798162574264566e-07,,0.038494668776755225,True,,constant,hinge,649,l2,,
20,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,median,,,,,,1.0641219140928486,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,3.475962095416318e-05,,0.018311208559933848,True,,invscaling,squared_hinge,626,l2,0.04294392578750151,
21,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,True,gini,None,3.8666637571443045,None,3,3,100,min/max,,,,,,,,,,,,,,,,,,,
22,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,7.795187010573722,auto,False,True,1,l2,ovr,l2,3.505181774537069e-05,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,2.026746063798183e-07,,0.06630167026950978,True,,invscaling,squared_hinge,327,l1,0.5836325425482541,
23,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.39451948193431585,4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3016951272924656,True,squared_hinge,923,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
24,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5928080561220557,2,2.148649606112349,poly,2104,0.0001407514168777676,True,hinge,676,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
25,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,0.8631968044910818,None,2,12,100,min/max,,,,,,,,,,,,,,,,,,,
26,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18583053006614503,3,0.007850367193230779,poly,148,,,,,nystroem_sampler,,,,,,,,,,,min/max,2.6859807899995373e-06,True,5.240827876633118e-05,,,,,,,,,,,,,,,,
27,,,,,none,passive_aggresive,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04447474236081628,,1.8154963794404668,sigmoid,1235,1.5196486506719706,True,squared_hinge,782,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
28,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,9.175504903672477,None,False,True,1,l2,ovr,l2,0.013834129577528618,678.9753858430612,auto,False,True,1,l2,ovr,l2,0.00015222324610646566,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
29,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.6203452280981492,9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,5.641638307200248e-06,,0.07060847896251375,True,0.7164629744765447,constant,hinge,721,elasticnet,,
30,,,,,weighting,multinomial_nb,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3247792742762295,True,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
31,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,,
32,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,4.316579959028813,None,3,5,100,min/max,,,,,,,,,,,,,,,,,,,
33,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.622952766020817,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011930719923243435,True,squared_hinge,710,kitchen_sinks,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
34,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,3937.3822653724947,auto,False,True,1,l2,ovr,l2,0.005513698210165905,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,0.0020841018784736156,,0.06646318040954442,True,0.5384448115912315,optimal,log,718,elasticnet,,
35,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,15.005333368400391,None,False,True,1,l2,ovr,l2,0.017032242315689394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
36,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,31.85677011133806,None,False,True,1,l2,ovr,l2,0.014868685044056829,2.8635267316096007,auto,False,True,1,l2,ovr,l2,0.003376722544010921,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
37,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,1.1776001601005561,None,False,True,1,l2,ovr,l2,0.017370502624962942,56.8804975494496,None,False,True,1,l2,ovr,l2,0.003876415699636574,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
38,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,4.501432836777849,None,3,18,100,min/max,,,,,,,,,,,,,,,,,,,
39,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.7398703219374747,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,7.86021631854941e-05,,0.03434893125580767,True,,optimal,hinge,281,l1,,
40,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04789379035470258,True,hinge,753,select_rates,,,,,,,,,,,min/max,,,,,,0.1675294681360058,fpr,chi2,,,,,,,,,,,
41,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.2433817260885314,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,0.00434041929704603,True,9.460659754813873e-05,,,,,,,,,,,,,,,,
42,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.1297681317015507,9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12975595193304137,True,squared_hinge,75,kitchen_sinks,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
43,,,,,weighting,extra_trees,,,,,,,False,gini,None,1.8895989494369998,3,2,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
44,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,789.7255895126307,None,False,True,1,l2,ovr,l2,0.005492632645376755,4.767964625060663,auto,False,True,1,l2,ovr,l2,0.00021771569261740188,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
45,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,True,gini,None,4.177472062967176,None,2,2,100,min/max,,,,,,,,,,,,,,,,,,,
46,,,,,weighting,extra_trees,,,,,,,False,gini,None,4.657811250648488,1,7,100,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
47,,,,,weighting,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,median,auto,30,13,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,min/max,,,,,,0.29988931129304747,fpr,chi2,,,,,,,,,,,
48,,,,,weighting,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,most_frequent,auto,30,71,1,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,94.1552485834088,chi2,,,,,,,,,,,,,,
49,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,3.6453655958844275,auto,False,True,1,l2,ovr,l2,0.001700098721132202,,,,,,,,,,,,,,,,,,,,,-0.9702930141004069,,0.8329338915456194,sigmoid,91,,,,,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
50,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6088266276010387,False,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
51,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,median,,,,,,0.8243869118097851,6536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,0.00020146571912257294,True,0.00012724665320641094,,,,,,,,,,,,,,,,
52,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,1.0788604704526727,771,,,8.638619612438676,None,False,True,1,l2,ovr,l2,3.898062486834489e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
53,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8261666839426498,,0.4301656474360591,sigmoid,92,5.028276159239855,True,squared_hinge,926,nystroem_sampler,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
54,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.6210665065766494,6034,,,780.9762754676038,auto,False,True,1,l2,ovr,l2,2.6086901630174615e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
55,,,,,none,passive_aggresive,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8263336238167014,,0.003990693000505092,sigmoid,1082,0.39457713158534163,True,hinge,546,nystroem_sampler,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
56,,,,,none,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.5193928872785065,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,normalize,1.5903587572073658e-05,True,9.213150591825412e-05,,,,,,,,,,,,,,,,
57,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.9115270292784456,7952,,,26.460477813476885,auto,False,True,1,l2,ovr,l2,0.044498006537424896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
58,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
59,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,,
60,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
61,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2603057727841904,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,69.67466130649201,chi2,,,,,,,,,,,,,,
62,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,median,,,,,,1.0643838905189849,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,0.09431757027684076,True,1.3766310291813496e-05,,,,,,,,,,,,,,,,
63,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,0.8848273667433273,830,,,33.322968183119954,None,False,True,1,l2,ovr,l2,0.0005867159913893292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
64,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.018435765752884,5084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,normalize,0.003928296401001923,True,0.07019340466874537,,,,,,,,,,,,,,,,
65,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.6203452280981492,2429,,,0.09963900520720863,None,False,True,1,l2,ovr,l2,0.0004384903166052973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
66,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,9.175504903672477,None,False,True,1,l2,ovr,l2,0.013834129577528618,678.9753858430612,auto,False,True,1,l2,ovr,l2,0.00015222324610646566,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
67,,,,,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,18592.554335798097,auto,False,True,1,l2,ovr,l2,0.04023227085496224,6111.712114902783,None,0.844884936772573,5,0.11788296024604372,poly,-1,False,0.0010929809050057324,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
68,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
69,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,,
70,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,2675.198796513386,auto,False,True,1,l2,ovr,l2,0.0011678802024027823,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,1.8104162957555047e-06,True,0.00015309521753435168,,,,,,,,,,,,,,,,
