@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
churn,1.0,369,0.14018691588785037,ok
rl,1.0,375,0.03633373998833078,ok
volcanoes-a3,1.0,376,?,not_applicable
profb,1.0,379,0.32571428571428573,ok
bank32nh,1.0,384,0.28739316239316237,ok
cylinder-bands,1.0,388,0.11304347826086958,ok
madelon,1.0,393,0.10138248847926268,ok
musk,1.0,395,0.0,ok
monks-problems-3,1.0,399,0.004739336492890933,ok
gtsrb-hog02,1.0,403,?,not_applicable
boston_corrected,1.0,407,0.08974358974358976,ok
skin-segmentation,1.0,412,0.0002025868786037499,ok
balance-scale,1.0,414,?,not_applicable
traffic_violations,1.0,417,?,not_applicable
wilt,1.0,422,0.08641975308641991,ok
magictelescope,1.0,425,0.16463414634146334,ok
pc3,1.0,428,0.5393939393939393,ok
japanesevowels,1.0,432,?,not_applicable
volcanoes-b1,1.0,435,?,not_applicable
fri_c1_1000_50,1.0,440,0.06017191977077374,ok
splice,1.0,442,?,not_applicable
optdigits,1.0,445,?,not_applicable
gtsrb-huehist,1.0,448,?,not_applicable
amazon-commerce-reviews,1.0,451,?,not_applicable
ringnorm,1.0,454,0.02321792260692468,ok
gametes_epistasis_2-way_20atts_0.1h_edm-1_1,1.0,459,0.29957805907172996,ok
water-treatment,1.0,461,0.0,ok
breast-w,1.0,467,0.04210526315789476,ok
yeast,1.0,469,?,not_applicable
gametes_epistasis_2-way_20atts_0.4h_edm-1_1,1.0,473,0.26131386861313866,ok
fri_c2_500_50,1.0,476,0.03626943005181338,ok
micro-mass,1.0,480,?,not_applicable
indian_pines,1.0,483,?,not_applicable
miceprotein,1.0,486,?,not_applicable
diabetes,1.0,489,0.295774647887324,ok
collins,1.0,493,?,not_applicable
internet-advertisements,1.0,499,0.011702127659574457,ok
ova_endometrium,1.0,503,0.019133937562940573,ok
phishingwebsites,1.0,506,0.020516533912623647,ok
walking-activity,1.0,508,?,not_applicable
baseball,1.0,511,?,not_applicable
page-blocks,1.0,514,?,not_applicable
houses,1.0,518,0.01323895661292429,ok
waveform-5000,1.0,520,?,not_applicable
electricity,1.0,524,0.04104303086997185,ok
gtsrb-hog01,1.0,527,?,not_applicable
puma32h,1.0,532,0.08127721335268512,ok
bioresponse,1.0,536,0.1872278664731496,ok
cjs,1.0,538,?,not_applicable
spoken-arabic-digit,1.0,541,?,not_applicable
fri_c4_500_100,1.0,546,0.07526881720430123,ok
ova_kidney,1.0,548,0.005847953216374324,ok
ldpa,1.0,552,?,not_applicable
synthetic_control,1.0,555,?,not_applicable
pm10,1.0,559,0.36416184971098264,ok
ailerons,1.0,563,0.09399133546807303,ok
sensory,1.0,567,0.3333333333333335,ok
usps,1.0,570,?,not_applicable
kdd_internet_usage,1.0,573,0.19073869900771778,ok
kin8nm,1.0,578,0.0864661654135338,ok
dna,1.0,579,?,not_applicable
gametes_epistasis_3-way_20atts_0.2h_edm-1_1,1.0,585,0.34251968503937,ok
volcanoes-d4,1.0,586,?,not_applicable
fri_c0_1000_5,1.0,590,0.06501547987616108,ok
gesturephasesegmentationprocessed,1.0,593,?,not_applicable
ova_ovary,1.0,596,0.020179372197309475,ok
qsar-biodeg,1.0,601,0.1724137931034483,ok
mv,1.0,605,0.00018772292096869148,ok
wall-robot-navigation,1.0,608,?,not_applicable
eucalyptus,1.0,611,?,not_applicable
pendigits,1.0,614,?,not_applicable
har,1.0,617,?,not_applicable
soybean,1.0,620,?,not_applicable
puma8nh,1.0,626,0.16374487131667292,ok
kr-vs-k,1.0,627,?,not_applicable
ilpd,1.0,630,0.4125,ok
pc2,1.0,634,0.9259259259259259,ok
eating,1.0,638,?,not_applicable
eeg-eye-state,1.0,643,0.02157303370786512,ok
artificial-characters,1.0,645,?,not_applicable
climate-model-simulation-crashes,1.0,648,0.01501501501501512,ok
volcanoes-d1,1.0,652,?,not_applicable
cpu_act,1.0,657,0.04214963119072712,ok
wind,1.0,662,0.131107885824867,ok
fri_c3_500_10,1.0,663,0.08571428571428574,ok
socmob,1.0,668,0.1165644171779141,ok
oil_spill,1.0,673,0.39130434782608703,ok
mushroom,1.0,674,0.0,ok
jm1,1.0,679,0.5371428571428571,ok
analcatdata_authorship,1.0,680,?,not_applicable
vowel,1.0,683,?,not_applicable
gametes_epistasis_2-way_1000atts_0.4h_edm-1_edm-1_1,1.0,688,0.27069351230425054,ok
spambase,1.0,690,0.052631578947368474,ok
mofn-3-7-10,1.0,694,0.0,ok
colleges_aaup,1.0,701,0.009615384615384692,ok
tic-tac-toe,1.0,702,0.0,ok
texture,1.0,706,?,not_applicable
