idx,adaboost:algorithm,adaboost:base_estimator,adaboost:learning_rate,adaboost:n_estimators,classifier,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:metric,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,liblinear:C,liblinear:class_weight,liblinear:dual,liblinear:fit_intercept,liblinear:intercept_scaling,liblinear:loss,liblinear:multi_class,liblinear:penalty,liblinear:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,pca:keep_variance,pca:whiten,preprocessor,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,select_percentile_classification:percentile,select_percentile_classification:score_func,sgd:alpha,sgd:class_weight,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,sparse_filtering:N,sparse_filtering:maxiter,truncatedSVD:target_dim
15,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,1159.5379650065533,auto,,,0.0033346593049171373,rbf,-1,True,0.00013594321823634303,,,0.9996722172559389,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
16,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,2.820343659623109,auto,False,True,1,l2,ovr,l2,0.0005834696323997709,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,1937,61,
17,,,,,gradient_boosting,,,,,,,,0.5276751105983584,4,4.657313869730914,14,7,100,0.7648298729388447,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
18,SAMME.R,None,0.9903528382832123,49,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990582608810888,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
19,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,87,5,distance,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,86.00594639284559,chi2,,,,,,,,,,,,,,
20,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,86,5,uniform,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,10,None,1,10,93,standard,,,,,,,,,,,,,,,,
21,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,7.485820758571139e-06,None,,0.01215924316811541,True,0.6846590631832105,optimal,hinge,915,elasticnet,,636,173,
22,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,0.00019049423504762718,auto,0.00023767502044185618,0.07950986564343915,True,,invscaling,modified_huber,943,l1,0.31776846803247505,,,
23,,,,,libsvm_svc,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,22312.088087515873,auto,,,0.05046738188122887,rbf,-1,False,0.00032569474689849055,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
24,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,59.68587342707635,f_classif,,,,,,,,,,,,,,
25,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,4.51617356406322,auto,,,0.002958444856674662,rbf,-1,False,0.0008404733605687288,,,,,random_trees_embedding,,,,,,,,,8,None,1,9,99,min/max,,,,,,,,,,,,,,,,
26,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,8.417544046206055,auto,False,True,1,l2,ovr,l2,7.197026586459488e-05,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,89.5194169711647,f_classif,,,,,,,,,,,,,,
27,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34704918372834126,False,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
28,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,281,204,
29,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,True,entropy,None,4.247630483988104,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,
30,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989605700012767,True,pca,,,,,,,,,,,,,,min/max,,,0.0002994254083961509,auto,,0.08543170811130923,True,,optimal,hinge,405,l2,,,,
31,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,5.055674249252333,auto,False,True,1,l2,ovr,l2,0.0323019981011048,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
32,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,7,None,1,15,100,standard,,,0.001150670704674523,auto,,0.059255285240846826,True,0.41907834826871815,invscaling,squared_hinge,892,elasticnet,0.5023823130775587,,,
33,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,90.55923986218176,False,,,select_percentile_classification,,,,,,,,,,,,,,min/max,59.52431953786685,f_classif,,,,,,,,,,,,,,
34,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991404603213343,True,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
35,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,1.657371168841612,6065,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,7.988968213043487e-06,auto,,0.09949309097229168,True,,optimal,hinge,727,l1,,,,
36,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,1.483615705097885,208,39.79819518343083,auto,False,True,1,l2,ovr,l2,1.3969729732503227e-05,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
37,SAMME.R,None,0.9665915204174208,50,adaboost,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.40160936971127,chi2,,,,,,,,,,,,,,
38,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,3.362347826728521,auto,False,True,1,l2,ovr,l2,1.320260339805844e-05,,,,,,,,,,,,0.9944228904754806,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
39,,,,,libsvm_svc,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,0.16276667107998746,None,0.14798642528442807,1,8.576571897204675e-05,poly,-1,True,0.00020037443113036217,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,76.46467106274778,chi2,,,,,,,,,,,,,,
40,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
41,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,0.032119937469680004,auto,False,True,1,l2,ovr,l2,0.04365934752741966,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,4,None,3,8,98,min/max,,,,,,,,,,,,,,,,
42,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,76.08473421064419,f_classif,0.0006767236196886245,auto,,0.037712287739843045,True,0.9158667036819521,invscaling,hinge,983,elasticnet,0.3134984009139324,,,
43,,,,,extra_trees,True,entropy,None,3.942943569674082,1,8,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,19.23189951866017,f_classif,,,,,,,,,,,,,,
44,SAMME.R,None,0.9640326544571599,49,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
45,,,,,gradient_boosting,,,,,,,,0.06951514484071517,6,2.9743848170993177,17,2,100,0.7326906215940954,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,78.36560687781733,chi2,,,,,,,,,,,,,,
46,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,0.4618398432120518,995,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
47,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,True,gini,None,3.9216812232519,None,2,19,100,,,,,,standard,32.03346784489534,f_classif,,,,,,,,,,,,,,
48,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,25,5,distance,,,,,,,,,,,,,,,,,,,,,,,0.9104056642997742,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
49,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,80,1,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
50,,,,,extra_trees,False,gini,None,3.7561795659094352,1,8,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
51,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40475073819090873,False,,,random_trees_embedding,,,,,,,,,7,None,1,14,99,min/max,,,,,,,,,,,,,,,,
52,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,3.9836080591062037,None,0.37080901900773244,3,6.362379124337881e-05,poly,-1,False,0.09994884181678226,,,0.9976282749559192,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
53,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,1968.5249575691266,None,False,True,1,l2,ovr,l2,0.0003820298716380104,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,338,392,
54,,,,,gradient_boosting,,,,,,,,0.145138942064277,5,4.047293830085338,9,3,100,0.9461324924783566,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
55,SAMME.R,None,0.9773501245774091,50,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996138187034814,True,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
56,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,85,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,19.231341979639332,f_classif,,,,,,,,,,,,,,
57,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,66,5,distance,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,9,None,7,15,99,standard,,,,,,,,,,,,,,,,
58,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,1.802866225866459e-05,None,,0.016611962123904735,True,,constant,perceptron,185,l1,,1964,144,
59,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,0.005790716066302171,auto,,0.04642793299390474,True,,optimal,hinge,391,l1,,,,
60,,,,,libsvm_svc,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,0.45959483931881034,None,-0.7313328282576794,3,6.447606688280493e-05,poly,-1,False,0.049082234912420857,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
61,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,58.490304059249745,chi2,,,,,,,,,,,,,,
62,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,0.16251231944640346,None,,,0.020625175111345758,rbf,-1,True,5.5330211669735756e-05,,,,,random_trees_embedding,,,,,,,,,4,None,2,3,100,standard,,,,,,,,,,,,,,,,
63,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,0.4510228158030708,auto,False,True,1,l2,ovr,l2,1.844241301852106e-05,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,84.97065810710004,f_classif,,,,,,,,,,,,,,
64,,,,,multinomial_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,14.075132018170889,False,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
65,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,672,296,
66,,,,,random_forest,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,True,gini,None,4.154623992307258,None,4,3,100,,,,,,standard,,,,,,,,,,,,,,,,
67,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986461379799261,True,pca,,,,,,,,,,,,,,standard,,,0.0011553622772478417,auto,,0.02058315569892836,True,0.12048619165720287,optimal,hinge,896,elasticnet,,,,
68,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,0.07617538440122228,auto,False,True,1,l2,ovr,l2,1.1309131714044429e-05,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
69,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,9,None,13,20,100,min/max,,,0.010200866957747419,auto,,0.017142832327504545,True,,optimal,log,273,l2,,,,
70,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0898806160677575,False,,,select_percentile_classification,,,,,,,,,,,,,,min/max,32.849148769287176,f_classif,,,,,,,,,,,,,,
71,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
72,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,0.3980208213109948,6405,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,2.661470678296104e-07,auto,,0.005100359307645322,True,,constant,hinge,283,l2,,,,
73,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,0.3136697444528054,8838,1.1366969392698836,auto,False,True,1,l2,ovr,l2,0.049474387315045214,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
74,SAMME.R,None,0.8446349064262364,42,adaboost,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,46.485815062111996,chi2,,,,,,,,,,,,,,
75,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,0.42574716827988723,None,False,True,1,l2,ovr,l2,0.0927500654229914,,,,,,,,,,,,1.0,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
76,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,107.28406938863233,auto,-0.26054167976627984,3,0.47977840276912526,poly,-1,False,0.00015136485199371177,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,71.71587826311199,f_classif,,,,,,,,,,,,,,
77,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
78,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,0.03670083773530282,None,False,True,1,l2,ovr,l2,5.660829987188418e-05,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,6,None,1,18,96,standard,,,,,,,,,,,,,,,,
79,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,82.06691147220968,chi2,1.0042183502727844e-05,None,,0.046339780948192674,True,,invscaling,squared_hinge,944,l1,0.07989713228368457,,,
80,,,,,extra_trees,False,entropy,None,2.7689019910048485,1,5,100,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.33989011639153,f_classif,,,,,,,,,,,,,,
81,SAMME.R,None,0.7017377379121736,38,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
82,,,,,gradient_boosting,,,,,,,,0.14761418063246834,5,2.3877144102298864,12,12,100,0.9524199918738058,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,87.60485712827804,f_classif,,,,,,,,,,,,,,
83,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,0.35890263688687457,7208,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
84,,,,,random_forest,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,False,gini,None,1.0233647548974347,None,1,7,100,,,,,,min/max,76.43273374648072,chi2,,,,,,,,,,,,,,
85,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,66,1,uniform,,,,,,,,,,,,,,,,,,,,,,,0.9684185293814846,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
86,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
87,,,,,extra_trees,False,entropy,None,4.184866403728471,1,3,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
88,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012567308780583515,True,,,random_trees_embedding,,,,,,,,,10,None,1,15,99,min/max,,,,,,,,,,,,,,,,
89,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,449.27857239550184,auto,,,0.008298439489679286,rbf,-1,True,1.506068469592828e-05,,,0.9990255398063801,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
90,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,4.943722012085487,None,False,True,1,l2,ovr,l2,1.8080929399425485e-05,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,1467,94,
91,,,,,gradient_boosting,,,,,,,,0.1458013280721131,7,1.3657352990585345,13,15,100,0.8718477208759522,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
92,SAMME.R,None,0.3017187433563734,48,adaboost,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9508081686702883,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
93,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,62,1,uniform,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,72.35756858055956,chi2,,,,,,,,,,,,,,
94,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,39,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,8,None,1,13,100,min/max,,,,,,,,,,,,,,,,
95,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,2.8010988651992936e-07,None,,0.05973348830044395,True,,invscaling,squared_hinge,687,l2,0.2085121434268605,1639,280,
