idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,bernoulli_nb:alpha,bernoulli_nb:fit_prior,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,extra_trees_preproc_for_classification:bootstrap,extra_trees_preproc_for_classification:criterion,extra_trees_preproc_for_classification:max_depth,extra_trees_preproc_for_classification:max_features,extra_trees_preproc_for_classification:min_samples_leaf,extra_trees_preproc_for_classification:min_samples_split,extra_trees_preproc_for_classification:n_estimators,fast_ica:algorithm,fast_ica:fun,fast_ica:n_components,fast_ica:whiten,feature_agglomeration:affinity,feature_agglomeration:linkage,feature_agglomeration:n_clusters,gem:N,gem:precond,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kernel_pca:coef0,kernel_pca:degree,kernel_pca:gamma,kernel_pca:kernel,kernel_pca:n_components,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,pca:keep_variance,pca:whiten,preprocessor,proj_logit:max_epochs,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
11,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,False,gini,None,1.010439854733793,None,2,15,100,,,,,,min/max,,,,,,,,,,,,,,,,,,,
12,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,False,gini,None,1.0929185911318025,None,2,11,100,,,,,,min/max,,,,,,,,,,,,,,,,,,,
13,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,4.05273711843072,2,2,100,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
14,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,False,gini,None,2.0439089909509587,None,2,17,100,,,,,,min/max,,,,,,,,,,,,,,,,,,,
15,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,0.031995962382366405,auto,False,True,1,l2,ovr,l2,0.0008503864482225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.2257628182720277,fdr,chi2,,,,,,,,,,,
16,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,True,gini,None,2.5444868068231448,None,2,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,,
17,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,False,gini,None,2.5652858650006936,None,2,9,100,,,,,,min/max,,,,,,,,,,,,,,,,,,,
18,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,False,gini,None,1.008970142147161,None,2,4,100,,,,,,min/max,,,,,,,,,,,,,,,,,,,
19,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,4.041420902544829,2,4,100,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
20,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.363358720995683,fdr,chi2,0.009687381501143224,,0.08750124760010312,True,0.19937162738064448,invscaling,hinge,290,elasticnet,0.29022622165743794,
21,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,0.49310476322484065,661,,,54.728150312038075,auto,False,True,1,l2,ovr,l2,0.0003365086449118709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
22,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,True,gini,None,0.6772361575023496,6,13,100,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,61.35698351422232,auto,False,True,1,l2,ovr,l2,0.0007269606837842906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
23,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,,normalize,0.0005705082784775074,True,0.0003190689955775907,72.72529413399533,f_classif,,,,,,,,,,,,,,
24,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,normalize,2.0130629667463087e-05,True,0.05073203041336756,,,0.49757172044725323,fpr,f_classif,,,,,,,,,,,
25,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011818580214670207,rbf,285,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,none,0.003929685784667096,True,0.000993966175036928,,,,,,,,,,,,,,,,
26,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,2.7861811038070603,auto,False,True,1,l2,ovr,l2,0.006710899856626243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,,normalize,,,,59.326018841637584,f_classif,,,,,,,,,,,,,,
27,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09078499496015136,2,0.08810872412271054,poly,81,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,normalize,2.202328742482275e-06,True,1.1112130917555035e-05,,,,,,,,,,,,,,,,
28,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,21.72367051707909,None,False,True,1,l2,ovr,l2,0.0017104482584788547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,,normalize,,,,52.771583493067325,f_classif,,,,,,,,,,,,,,
29,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,-0.8451690630284632,2,4.5083734456952005,poly,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,normalize,4.4757726742444395e-07,True,0.0042449047716581366,,,,,,,,,,,,,,,,
30,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,44.63706497495678,auto,False,True,1,l2,ovr,l2,0.053363548510990524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,normalize,,,,,,0.4115603259749576,fwe,f_classif,,,,,,,,,,,
31,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,1.8023936017685442,None,False,True,1,l2,ovr,l2,5.261067272569639e-05,8.452906468293115,None,,,0.6409862652887585,rbf,-1,True,1.8482915543394045e-05,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
32,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,deflation,exp,1498,False,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.422816014111305,auto,,,7.983707437146529,rbf,-1,True,0.07092359425074338,,,,,,,,,,,,,,fast_ica,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
33,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,complete,352,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7684231045344558,auto,,,1.031741134875783,rbf,-1,False,0.000703643490594413,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
34,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.15763150356233574,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.690417592700677,None,0.9875457887557468,1,0.0017307522815940182,poly,-1,True,4.9807764964604254e-05,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
35,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.16952887997790697,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0720731258029,auto,,,0.0019247588463115841,rbf,-1,True,0.0001706866138409035,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
36,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.43526004567329374,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.67216519093603,auto,-0.4896250423477786,1,0.054676678748309324,poly,-1,False,0.003614302454163707,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
37,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,average,379,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.47417320941458,None,,,7.102072486542244,rbf,-1,True,8.731949600633019e-05,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
38,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,complete,143,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20451599124499684,auto,0.7426109807438956,4,6.999221933153224,poly,-1,False,9.11208584118557e-05,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
39,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.696689962579585,None,,,7.111460283864676,rbf,-1,False,4.813322885419332e-05,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,normalize,,,,,,0.1602177595836664,fwe,f_classif,,,,,,,,,,,
40,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,deflation,cube,1445,True,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.94621246077715,None,0.06806645295808766,3,6.967622784633588,poly,-1,False,0.00037150517785217,,,,,,,,,,,,,,fast_ica,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
41,SAMME.R,0.16715966513956712,3,358,none,,,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
42,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.2586610047650062,4544,,,3.915866666703069,auto,False,True,1,l2,ovr,l2,0.0003470665615070783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
43,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.4569126746085177,7596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,none,,,,,,,,,1.5510097876964894e-05,0.09128321204275673,0.08091247421141062,True,,invscaling,modified_huber,266,l1,0.06457094872765122,
44,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,1.046297661557369,5540,,,6.226502333267544,auto,False,True,1,l2,ovr,l2,0.019436894086561653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
45,,,,,weighting,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,complete,133,,,0.08847571821340558,9,4.5716256975631895,10,4,100,0.5493525291506366,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
46,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,0.7299334950344742,1064,,,48.70183054109233,None,False,True,1,l2,ovr,l2,0.012901728699296488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
47,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19517.458401081316,None,,,0.041118631676599265,rbf,-1,False,2.1606757558439898e-05,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.42567573649237267,fdr,f_classif,,,,,,,,,,,
48,,,,,none,,,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,1.3030532982440746,9152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013370766725774919,True,hinge,408,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
49,SAMME.R,0.10114896337781637,4,488,none,,,adaboost,,,,,,,,,,,,,,,,,,,,,parallel,cube,1464,True,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast_ica,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
50,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,0.39755963292449564,5564,,,111.83566884189841,None,False,True,1,l2,ovr,l2,2.339567661262138e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
51,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,0.7030866666861617,5815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,1.5956713789157108e-06,True,0.0051845106727414535,,,,,,,,,,,,,,,,
52,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.141216127071221,3527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,3.762223109473837e-06,True,5.849176323387373e-05,,,,,,,,,,,,,,,,
53,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,0.3450211340939355,6310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,2.2365269200826772e-07,True,0.002903876648386512,,,,,,,,,,,,,,,,
54,,,,,none,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,auto,30,1,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.20372801722829392,fdr,chi2,,,,,,,,,,,
55,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,1.0955096447305852,rbf,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,min/max,5.216296580068502e-06,True,0.004908184323430763,,,,,,,,,,,,,,,,
